ScoreRange,ScoreImage,Title,Description
0-1,quiz-images/quiz-1.jpg,Needs a little more work.,"You know <a target=""_blank"" href=""https://www.accreditedschoolsonline.org/resources/students-and-first-time-voters/"">a little something, something</a> about the voting process."
2-3,quiz-images/quiz-1.jpg,Not too bad!,"You know <a target=""_blank"" href=""https://www.accreditedschoolsonline.org/resources/students-and-first-time-voters/"">a little something, something</a> about the voting process."
4-6,quiz-images/quiz-1.jpg,You’re ready to hit the polls!,"Look at you! You're clearly ready to hit the polls! Go out and <a target=""_blank"" href=""https://www.accreditedschoolsonline.org/resources/students-and-first-time-voters/"">make your voice count</a>!"
