ScoreRange,ScoreImage,Title,Description
0-1,quiz-images/end-result1.webp,Not even a little.,"You should probably brush up on your Thanksgiving knowledge before the holiday. Find out more <a href=""https://www.plimoth.org/learn/just-kids/homework-help/thanksgiving/thanksgiving-history"">here.</a>"
2-3,quiz-images/end-result2.webp,Not too bad!,"You did pretty well, but there’s always more to learn. Find out more about the first Thanksgiving <a href=""https://www.plimoth.org/learn/just-kids/homework-help/thanksgiving/thanksgiving-history"">here.</a>"
4-6,quiz-images/end-result3.webp,You’re ready to hit the polls!,"<b>You practically wrote the book!</b> Great job! You clearly have done your homework. <a href=""https://www.plimoth.org/learn/just-kids/homework-help/thanksgiving/thanksgiving-history"">Here’s</a> a place where you can find out even more.  
"
