ScoreRange,ScoreImage,Title,Description
0-2,quiz-images/end-result1.webp,Not even a little.,"You should probably brush up on your Thanksgiving knowledge before the holiday. Find out more <a href=""https://www.nytimes.com/2017/11/21/us/thanksgiving-myths-fact-check.html"">here.</a>"
2-5,quiz-images/end-result2.webp,Not too bad!,"You did pretty well, but there’s always more to learn. Find out more about the first Thanksgiving <a href=""https://www.nytimes.com/2017/11/21/us/thanksgiving-myths-fact-check.html"">here.</a>"
5-7,quiz-images/end-result3.webp,You practically wrote the book!,"You practically wrote the book!</b> Great job! You clearly have done your homework. <a href=""https://www.nytimes.com/2017/11/21/us/thanksgiving-myths-fact-check.html"">Here’s</a> a place where you can find out even more.  
"
